#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 03 15 00 160  5.7  5.7    MM    MM    MM  MM 1021.8  12.8    MM  12.4   MM +0.6    MM
2017 05 03 14 00 160  4.6  4.6    MM    MM    MM  MM 1021.8  13.1    MM  13.0   MM +0.9    MM
2017 05 03 13 00 170  5.7  6.2    MM    MM    MM  MM 1021.6  11.9    MM  11.9   MM +0.7    MM
2017 05 03 12 00 170  6.7  6.7    MM    MM    MM  MM 1021.2  11.3    MM  11.2   MM -0.0    MM
2017 05 03 11 00 160  7.7  8.2    MM    MM    MM  MM 1020.9  12.4    MM  12.4   MM -0.7    MM
2017 05 03 10 00 180  7.7  7.7    MM    MM    MM  MM 1020.9  11.9    MM  11.9   MM -0.9    MM
2017 05 03 09 00 170  6.2  6.2    MM    MM    MM  MM 1021.1  11.2    MM  11.2   MM -0.9    MM
2017 05 03 08 00 160  4.6  5.1    MM    MM    MM  MM 1021.6  11.6    MM  11.6   MM -0.6    MM
2017 05 03 07 00 170  4.6  4.6    MM    MM    MM  MM 1021.8  11.2    MM  11.2   MM +0.0    MM
2017 05 03 06 00 180  4.1  4.6    MM    MM    MM  MM 1022.0  11.4    MM  11.3   MM +0.0    MM
2017 05 03 05 00 170  3.1  3.6    MM    MM    MM  MM 1022.2  12.4    MM  11.7   MM +0.6    MM
2017 05 03 04 00 170  2.6  2.6    MM    MM    MM  MM 1022.0  12.2    MM  11.5   MM +0.0    MM
2017 05 03 03 00 150  2.6  2.6    MM    MM    MM  MM 1021.8  11.3    MM  10.4   MM +0.0    MM
2017 05 03 02 00 160  3.1  3.1    MM    MM    MM  MM 1021.6  11.9    MM   9.5   MM -0.4    MM
2017 05 03 01 00 190  2.6  2.6    MM    MM    MM  MM 1021.8  13.1    MM   8.6   MM -0.4    MM
2017 05 03 00 00 160  3.6  3.6    MM    MM    MM  MM 1021.8  15.0    MM   8.4   MM -0.7    MM
2017 05 02 23 00 160  2.6  2.6    MM    MM    MM  MM 1022.0  14.8    MM   8.6   MM   MM    MM
2017 05 02 22 00 160  2.1  2.6    MM    MM    MM  MM 1022.2  14.1    MM   8.5   MM -0.8    MM
2017 05 02 21 00 150  1.5  1.5    MM    MM    MM  MM 1022.5  13.6    MM   8.0   MM -0.7    MM
2017 05 02 20 00 150  1.0  1.0    MM    MM    MM  MM 1022.7  12.7    MM   8.0   MM -0.7    MM
